,Unnamed: 0,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Hours Above Vanos Threshold [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],Total ADORB Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
20,0,2B_IECC_TMY_DCint_2000_285,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,156.5,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.33939091682082,1276.3895310313694,0,134661.45,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15335.76,423989.2902176516,47862.84509487796,331424.3100703193,5415.433129656513,32242.86267637501,7043.839246422796
21,0,2B_IECC_TMY_DCint_2000_2875,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,156.25,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,39.12471015756987,1276.3895310313694,0,134975.58,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15649.88,424669.9988157005,47862.84509487796,332040.24144286825,5415.433129656513,32307.639901875,7043.839246422796
22,0,2B_IECC_TMY_DCint_2000_29,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,157.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.60984384056872,1276.3895310313694,0,134769.63,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15443.94,424223.7159329604,47862.84509487796,331636.4277173781,5415.433129656513,32265.17074462501,7043.839246422796
23,0,2B_IECC_TMY_DCint_2000_2925,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,154.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.253812878295335,1276.3895310313694,0,134627.22,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15301.53,423915.1139167177,47862.84509487796,331357.1924232604,5415.433129656513,32235.804022500008,7043.839246422796
24,0,2B_IECC_TMY_DCint_2000_295,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,151.0,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.75274103007631,1276.3895310313694,0,134426.79,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15101.1,423480.7827453427,47862.84509487796,330964.1924232604,5415.433129656513,32194.472851125007,7043.839246422796
25,0,2B_IECC_TMY_DCint_2000_2975,0.0,0.0,0.75,0,-1.0625,-20.375,39.0,18.0,146.5,0.25,0.0,0.0,14.52,3354.74,8.655433791041657,43.25210980882365,1276.3895310313694,0,136626.54,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,17300.84,428247.6238752888,47862.84509487796,335277.4179134565,5415.433129656513,32648.08849087501,7043.839246422796
26,0,2B_IECC_TMY_DCint_2000_30,0.0,0.0,3.0,0,-1.0625,-20.375,39.0,18.0,143.75,1.0,0.0,0.0,14.52,3354.74,8.655433791041657,53.779954795221286,1276.3895310313694,0,140837.68,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,21511.98,437373.15083744057,47862.84509487796,343534.5551683583,5415.433129656513,33516.478198125,7043.839246422796
27,0,2B_IECC_TMY_DCint_3000_27,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
28,0,2B_IECC_TMY_DCint_3000_2725,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
29,0,2B_IECC_TMY_DCint_3000_275,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
30,0,2B_IECC_TMY_DCint_3000_2775,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
31,0,2B_IECC_TMY_DCint_3000_28,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
32,0,2B_IECC_TMY_DCint_3000_2825,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,5.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.17794229748652,1276.3895310313694,0,134596.87,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15271.18,423849.3455634211,47862.84509487796,331297.6826193388,5415.433129656513,32229.545473125003,7043.839246422796
