,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
13,200.58311999999998,93.96395000000001,116.04602,89.83053,114.75919,101.07450999999999,299.39737,230.84504,214.94241000000002,295.85634999999996,351.21006,281.58812,265.67714,168.64872,229.44233000000003,244.58156,145.67582000000002,128.96913999999998,228.32352,109.82727
14,204.21224,93.97976,109.65061,90.58988,132.89848999999998,108.86801,299.3001,224.69109999999998,215.07659999999998,296.02878000000004,348.4476599999999,285.96648999999996,330.08920000000006,167.06007,229.43884999999997,253.56876,150.32687,138.09574,233.83069,119.64467999999998
15,208.69698,139.94522,115.16192000000001,87.32889,251.78159,160.60911000000002,324.14243,279.27936,255.37512999999998,320.83585,359.56266000000005,297.3877,298.61925,269.96049,299.14086,349.45439,264.46522,137.82563,328.11276999999995,140.12213
16,268.64241,261.27184,184.12070999999997,169.13985,520.5799999999999,368.2668,354.62694,354.75401,330.55550999999997,449.63115,401.1966100000001,398.77695,330.35656,404.0931,351.33252999999996,462.10873,474.07539,304.77924,513.63955,373.02470000000005
17,344.81606,253.76227999999998,206.56636000000003,304.887,545.66803,421.59962,362.69271000000003,354.17446,347.38595,532.55646,414.35009999999994,507.75034999999997,381.97837,394.11741,355.47555,458.38964,472.37051999999994,491.14191999999997,504.1579,499.79493
18,342.98659999999995,254.99016999999998,197.08148,316.61815,542.57806,403.16305000000006,369.46098,355.26840999999996,367.58323000000007,533.9240400000001,414.72444,505.96452,385.69987000000003,416.15578,377.22452,453.99107000000004,476.70782999999994,499.21175999999997,501.04525,495.25755000000004
19,343.34322,259.04561,197.54977,310.41612,542.8403900000001,388.93051,366.43773000000004,356.61625000000004,367.09638,534.78155,414.4693899999999,507.11468,388.07469,387.8715,352.05405,453.45936,476.26238,493.96601,514.43309,494.63437
20,341.20689,257.31226,200.02963999999997,311.27529,563.83456,389.36395000000005,361.74669000000006,357.73818,345.19687,522.20029,412.86069999999995,510.68436,393.88599999999997,373.2956699999999,339.78607000000005,461.62991,490.35634000000005,500.79245000000003,529.30378,523.4669
21,348.45295999999996,284.83437,204.32407,376.93924,573.29874,411.89585999999997,357.01980000000003,361.33816,340.69131999999996,530.5778,411.8165,514.26919,400.35459,394.15498999999994,335.99437,453.70247,508.16841,536.17246,554.23344,558.56504
22,364.32886,310.64257999999995,204.63574,493.83485,546.4023599999999,392.27039,353.83215,363.45131,339.49717,525.94313,412.39489000000003,515.03077,412.26867999999996,387.36371999999994,322.84436000000005,456.49608,527.9234299999999,567.75108,564.05615,596.25572
23,372.86656000000005,346.56480999999997,200.51630999999998,532.0044899999999,547.7357099999999,406.3098,352.32521,366.78871,335.68875,510.61456999999996,425.2603,510.89412000000004,423.62821999999994,400.87706000000003,329.58340000000004,460.55243,550.64028,560.99573,576.05443,603.31826
