Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 04/27  20:00:00,-2.0125,-6.012499999999999,71.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.228609489766544,0.0,19.91027320447525,30.852213810569148,1306.6443547632208,9541875.316124704,0.0,22.47590771029991,18.762441663309859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-21.797693799152769,0.0,2700.0 
 04/27  21:00:00,-2.2,-5.6,75.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.237284037646638,0.0,19.91154768813089,30.86886777921263,1313.692435173672,10748233.933435429,0.0,22.384515875913136,18.76427844895676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-22.111112312943157,0.0,3600.0 
 04/27  22:00:00,-2.2,-5.6,75.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.2663371293550265,0.0,19.912993970146464,30.930122413294528,1322.2816153942795,11638507.824923296,0.0,22.324804077268156,18.767468785730473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-22.11269837311015,0.0,3600.0 
 04/27  23:00:00,-2.8875,-5.9125,77.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.2766142604602916,0.0,19.9113610103591,30.955926278824298,1330.0744662154432,12380389.396026809,0.0,22.280779045847539,18.76634629756432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-22.52470751075882,0.0,3600.0 
 04/27  24:00:00,-4.3625,-7.85,74.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.22803927255237,0.0,19.906387716400347,30.858432677297765,1336.5669481737946,13256153.591074497,0.0,22.230334346162669,18.758330007947593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-23.84534408816861,0.0,3600.0 
 04/28  01:00:00,-6.062499999999999,-9.5875,73.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.1155938676994836,0.0,19.90053513982261,30.622908610391876,1344.4421396977694,14098157.939802187,0.0,22.172187439136935,18.745742378631769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-25.539487384950229,0.0,3600.0 
 04/28  02:00:00,-5.6375,-9.3125,72.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.0482136897598188,0.0,19.90234163218421,30.472448238254964,1356.7390510340272,14592077.409727257,0.0,22.132415912328086,18.74380083273484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-25.963176155706117,0.0,3600.0 
 04/28  03:00:00,-5.375,-8.525000000000003,76.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.0303409199784867,0.0,19.90427961126919,30.42989847403723,1369.8169644784212,14960919.712377996,0.0,22.108758029385663,18.74482158810708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-25.12964423607992,0.0,3600.0 
 04/28  04:00:00,-6.2875,-7.987500000000001,86.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.019436662688488,0.0,19.90118827843554,30.412027557677239,1381.4442553149107,15421745.742458862,0.0,22.08463754643576,18.74095449250734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-25.914650786580077,0.0,3600.0 
 04/28  05:00:00,-6.7,-8.1125,88.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.0136806528204485,0.0,19.899708481349756,30.402310296571636,1391.4528501309374,15764552.810898904,0.0,22.06486770898465,18.739072987228544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-26.59968676828413,0.0,3600.0 
