Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 11/05  15:00:00,13.774999999999999,-3.05,32.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.5518248251540714,0.0,19.995479958064366,27.208423243277765,803.4919648240719,1389681.6335552638,0.0,23.36320348355869,18.76102567188972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  16:00:00,13.575,-3.2,32.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.40186029810053927,0.0,20.076433540063783,26.77940702463905,799.6090075934125,1389613.1877954626,0.0,23.409720225180747,18.838872521935739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  17:00:00,13.375,-2.95,33.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.5224828919648357,0.0,20.016666541817977,27.114821328893436,817.5472936798656,1391217.1195656295,0.0,23.33053599098223,18.781886864031998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,900.0 
 11/05  18:00:00,12.2375,-2.9875,36.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.7430897676454054,0.0,19.961852024493746,27.644101623652039,845.3662520152154,1403509.8864127713,0.0,23.19262057969116,18.735410991560707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  19:00:00,10.6,-2.975,41.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.9683905831783071,0.0,19.950751178145855,28.116331025582267,864.3188718294682,1415739.292176765,0.0,23.063871650400004,18.735530494961759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  20:00:00,8.9375,-2.4625,46.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.1295402277965297,0.0,19.947214530741709,28.450623365332534,873.7592484899209,1428667.761067207,0.0,22.953968019183649,18.74036892724401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  21:00:00,7.362500000000001,-2.8875,49.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.152977680697024,0.0,19.943335515573915,28.505475645984938,876.4534758223066,1442626.762175665,0.0,22.853766811427457,18.73753426455424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  22:00:00,5.925000000000001,-3.7999999999999995,51.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.9715158256134687,0.0,19.939352747116766,28.142608442185453,873.2188457844272,1456713.3653668985,0.0,22.757911273544815,18.723678353374397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  23:00:00,4.4625,-4.2875,54.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.657710945535505,0.0,19.93505180208079,27.5202611826437,865.9322008274719,1471077.4006353804,0.0,22.664873636363465,18.702697135391238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  24:00:00,3.0875,-5.0875,56.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.20104284896079126,0.0,19.93102949409284,26.632502633517203,855.3938908920791,1485748.9859007695,0.0,22.57562031765343,18.675092234488408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/06  01:00:00,1.7875,-5.687500000000001,59.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-0.2849666154301256,0.0,19.927232803695426,25.641108924243093,842.02108021575,1500044.9809329194,0.0,22.492895962454676,18.645029483753534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/06  02:00:00,0.4875,-5.987499999999999,62.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-0.7845403314483203,0.0,19.923370432625057,24.60979993012157,827.4724205891429,1514310.6803802513,0.0,22.41568624567609,18.61385225184074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
