Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 06/18  09:00:00,15.837500000000003,8.262500000000001,60.75,443776.91178082188,147945.20547945205,203256.98630136989,384762.1455382604,115199.99999999999,85401.34720101946,0.0,0.0,8.154270043904975,0.0,20.991706239293188,43.60361917727555,732.4645515172075,1808214.0186187546,0.0,18.6769799422882,20.28497136396247,0.022,0.022,0.076,0.046,0.048,0.073,0.058,0.9,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  10:00:00,17.7,8.9,56.25,302575.1671232877,147945.20547945205,212094.2465753425,545079.7061792023,135715.06849315068,95708.40634597007,0.0,0.0,8.887304272210186,0.0,21.72538093306526,43.810547697779927,714.378428284479,1785909.189811667,0.0,19.471356161272565,21.097416660702707,0.015,0.015,0.067,0.048,0.068,0.086,0.065,0.4,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  11:00:00,19.3625,9.2125,51.5,302575.1671232877,147945.20547945205,185582.46575342469,625238.4864996732,132558.90410958904,82456.47315960497,0.0,0.0,9.248022767483543,0.0,22.491273762896364,42.843853273328267,672.1261975770301,1822671.5357929385,0.0,20.24400923336869,21.914657307989577,0.015,0.015,0.061,0.042,0.078,0.084,0.056,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  12:00:00,21.0625,10.15,49.375,302575.1671232877,147945.20547945205,220931.5068493151,649286.1205958144,118356.16438356163,70676.97699394713,0.0,0.0,9.641460047757434,0.0,23.119017311934298,42.34941528702231,636.6841839319473,1855919.6984553356,0.0,20.871074875793615,22.592264886733316,0.015,0.015,0.048,0.05,0.081,0.075,0.048,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  13:00:00,22.0125,10.6,48.375,302575.1671232877,147945.20547945205,251861.91780821919,593174.9743714848,105731.50684931508,60369.9178489965,0.0,0.0,10.2230147349004,0.0,23.610194925541859,42.74670964237083,617.8347073865207,1807746.2582009105,0.0,21.394824840409293,23.142934058757949,0.015,0.015,0.042,0.057,0.074,0.067,0.041,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  14:00:00,22.8875,10.9125,46.75,302575.1671232877,147945.20547945205,203256.98630136989,537063.8281471551,94684.93150684932,67732.10295253266,0.0,0.0,10.710272170684009,0.0,24.083939340315007,42.9194575825419,605.3023357454958,1699472.8569002804,0.0,21.8925798197044,23.668563555668439,0.015,0.015,0.037,0.046,0.067,0.06,0.046,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  15:00:00,23.987499999999998,10.7875,43.5,524463.6230136986,147945.20547945205,251861.91780821919,456905.04782668428,77326.02739726028,53007.732745460344,0.0,0.0,11.075840571929263,0.0,24.72825587339367,42.31238923894211,602.8022181610011,1984483.782755556,0.0,22.516932379663595,24.361460513083196,0.026,0.026,0.037,0.057,0.057,0.049,0.036,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  16:00:00,24.775,8.475,35.75,302575.1671232877,147945.20547945205,194419.7260273973,488968.5599548726,82060.27397260274,55952.60678687481,0.0,0.0,10.941487781788292,0.0,25.001043920965015,41.261684958787927,603.1214144878682,2195414.9490879,0.0,22.955491824421427,24.63409230920765,0.015,0.015,0.033,0.044,0.061,0.052,0.038,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  17:00:00,25.375,7.2,31.375,1129613.9572602739,147945.20547945205,406513.97260273978,440873.29176259008,78904.10958904111,55952.60678687481,0.0,0.0,9.896420952600196,0.0,25.009942500508204,38.46401567947582,602.2367868652478,4717071.388568618,0.0,23.122258791452617,24.570830493300897,0.056,0.056,0.044,0.092,0.055,0.05,0.038,0.25,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 06/18  18:00:00,25.225,7.575,32.25,1573390.869041096,147945.20547945205,662794.5205479453,432857.413730543,77326.02739726028,72149.41401465435,0.0,0.0,9.102163088825029,0.0,25.007519341241627,36.4628022909594,618.231062736654,6406308.388624311,0.0,23.233490049265034,24.515911112963058,0.078,0.078,0.058,0.15,0.054,0.049,0.049,0.55,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
