Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 02/10  01:00:00,-20.375,-22.8,81.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-18.250676846032915,0.0,19.89284238067533,5.25087401454797,608.1180769715548,697077.9083583888,0.0,21.12660623144516,18.074788329122723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  02:00:00,-20.225,-22.425,83.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-18.145631070912935,0.0,19.893042609999854,5.303305611546848,608.2071806550655,697096.1031964952,0.0,21.120000550657477,18.076377628634675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  03:00:00,-19.625,-22.575,78.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.99470667738949,0.0,19.893725309814994,5.379217921227048,608.7027654602479,691096.1565190181,0.0,21.1191341851208,18.07911075318409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  04:00:00,-19.4,-22.8,75.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.99335980494916,0.0,19.89395665058594,5.379818890905787,609.4193830054197,687159.2495617333,0.0,21.124642809761988,18.079380920018186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  05:00:00,-19.4,-22.425,77.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.948522245720168,0.0,19.893884647578465,5.402700153121961,609.8884382358333,685719.4439340243,0.0,21.130888459937979,18.079899171890049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  06:00:00,-19.775,-22.2,81.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.82643756314197,0.0,19.893509788614947,5.465421274725457,609.9113151875192,690389.9118083372,0.0,21.129899725202276,18.081124545205389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  07:00:00,-19.625,-22.2,80.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.770809559990395,0.0,19.89363986961382,5.494122269335287,609.6428670691945,689510.4849622916,0.0,21.12666325967436,18.082017049163406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/10  08:00:00,-19.0875,-21.8875,79.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.66085655146705,0.0,19.894193904930164,5.551215856554535,610.0235177043186,681374.0188084868,0.0,21.134322225887229,18.084117265010993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,2700.0 
 02/10  09:00:00,-18.525000000000003,-21.7,76.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.48057659218749,0.0,19.894217772847229,5.646215938637356,610.713885386473,659237.801066348,0.0,21.210883980702549,18.0866240774186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  10:00:00,-17.9875,-21.324999999999997,75.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.29877185045175,0.0,19.89283256316065,5.744099262330095,611.4749377777282,619441.5245911328,0.0,21.40441016640916,18.087656189104224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  11:00:00,-17.8,-20.7875,77.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.02096404270786,0.0,19.889180702033387,5.897235808756197,612.1726358871392,577630.1835462081,0.0,21.634316298201435,18.08763770724314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  12:00:00,-16.737500000000006,-20.225,74.625,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.652271833221925,0.0,19.887816041322286,6.105006309015961,613.0866257794052,540775.0638972117,0.0,21.851917456484217,18.091561699078825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  13:00:00,-15.4125,-19.625,70.125,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.177325745681544,0.0,19.887388292081533,6.3818683420217179,615.3474338233026,515945.9231019107,0.0,21.95681867083017,18.09832035022025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  14:00:00,-14.312499999999999,-18.712500000000003,69.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-15.621392650673535,0.0,19.88686826585063,6.720779478695078,617.9141554251607,498489.2791304254,0.0,21.992867326690744,18.10659766771273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  15:00:00,-13.9,-17.9875,71.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-14.971289017314847,0.0,19.88719967901891,7.136997460997202,620.5779383699874,489525.23502512139,0.0,22.008695186908456,18.117830136180176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/10  16:00:00,-14.2125,-17.425,77.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-14.4257187026155,0.0,19.88740178126673,7.504168008761904,621.777218423953,505582.4266267298,0.0,21.907784162759535,18.127639679622186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
