Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 05/12  21:00:00,12.9875,-2.3874999999999999,33.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.8888042764184345,0.0,22.737926812855329,27.19021883126958,1006.5959771276862,210198.68307945203,0.0,20.48604897320348,21.777241874735119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-9.789587839709306,0.0,3600.0 
 05/12  22:00:00,10.675,-1.7374999999999999,41.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.785106542238177,0.0,21.915187420894687,28.377440124781413,986.0481625681651,210198.68307945203,0.0,19.708147593483355,20.903228210686778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-10.62933180032895,0.0,3600.0 
 05/12  23:00:00,9.0875,-0.7875000000000001,49.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.606932658404288,0.0,21.10710728207518,29.439900095523624,941.9697510302005,210198.68307945203,0.0,18.923524306342715,20.042082068332485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-12.061018265493138,0.0,3600.0 
 05/12  24:00:00,8.525000000000003,-0.6,52.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.6097342612064948,0.0,20.556947842205799,30.460207412119453,920.1251482263149,210198.68307945203,0.0,18.298067240631466,19.463548042187278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-12.006915448011128,0.0,3600.0 
 05/13  01:00:00,8.9875,-0.9125000000000001,49.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.5985541986348217,0.0,20.06185002687327,31.380268767509617,913.8874135422339,212554.8750561108,0.0,17.740164246247269,18.942964269601128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-11.455030648880136,0.0,3600.0 
 05/13  02:00:00,7.7125,-1.1,53.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.359246483526571,0.0,19.944993524493876,31.074056470132115,896.9672445367526,230943.8179724624,0.0,17.396110359194176,18.80642657366338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-11.560903426586436,0.0,3600.0 
 05/13  03:00:00,6.324999999999999,-1.1,58.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.3651004755193476,0.0,19.933424419964525,31.109328119632975,908.7396108492081,243547.8726478126,0.0,17.170902588398989,18.794621540640287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-13.45994210206059,0.0,3600.0 
 05/13  04:00:00,7.1625,-1.1,55.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.429750854677417,0.0,19.94328943625157,31.233840513679949,924.2916427562589,261631.97514064495,0.0,17.010497914890878,18.808724215511704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-13.202171947114195,0.0,3600.0 
 05/13  05:00:00,7.425,-1.4749999999999999,52.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.1593640700960146,0.0,19.947629539997036,30.62972927984908,898.513350535976,273786.15333345558,0.0,16.897601997439467,18.797724314081685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-12.372823317089502,0.0,2700.0 
 05/13  06:00:00,7.575,-0.6375,55.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.0831457330665388,0.0,19.947711777547345,30.463303557369128,896.950147720705,251020.6262021457,0.0,17.011227701896769,18.793469214855607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-12.522654481471479,0.0,0.0 
