Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 10/14  01:00:00,4.0875,1.1,80.875,176999.36518321449,1331506.8493150683,30930.41095890411,831960.9819093358,127824.65753424655,234705.39356482953,0.0,0.0,8.950590126624377,0.0,22.028175741536118,43.19266918263883,1012.9563708854375,3014784.8975634265,0.0,25.3801219513347,21.41435745545863,0.008,0.008,0.006,0.007,0.01,0.009,0.015,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  02:00:00,4.2125,1.1,80.125,176999.36518321449,1331506.8493150683,30930.41095890411,499176.58914560146,99419.17808219177,109529.18366358712,0.0,0.0,8.601812198027467,0.0,21.481994302669567,43.616513405910328,1037.0979228496299,2528418.815446394,0.0,24.8929854736221,20.824624916313075,0.008,0.008,0.003,0.007,0.006,0.007,0.007,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  03:00:00,4.4,1.1,79.0,176999.36518321449,1331506.8493150683,17674.520547945205,332784.39276373435,56810.95890410958,78235.13118827652,0.0,0.0,8.231004096389766,0.0,21.020034666357298,43.755419530040949,1057.0623776889245,2274868.457000176,0.0,24.463965948917079,20.320096309610759,0.008,0.008,0.001,0.004,0.004,0.004,0.005,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  04:00:00,2.7125,0.03750000000000003,82.75,176999.36518321449,1331506.8493150683,17674.520547945205,166392.19638186717,56810.95890410958,46941.078712965915,0.0,0.0,7.815173047106043,0.0,20.527894522256277,43.84300546234739,1073.3702745956194,2077182.208142998,0.0,24.02579392390522,19.781029117109865,0.008,0.008,0.001,0.004,0.002,0.004,0.003,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  05:00:00,1.7,-0.6,85.0,530998.0955496435,1331506.8493150683,30930.41095890411,332784.39276373435,99419.17808219177,46941.078712965915,0.0,0.0,7.312778479042724,0.0,20.167609193924677,43.317373436484,1086.6236046060847,2856030.8570759908,0.0,23.63545560052276,19.370990419714233,0.024,0.024,0.003,0.007,0.004,0.007,0.003,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  06:00:00,2.0125,-0.6,83.125,1106246.0323950907,1331506.8493150683,48604.93150684932,499176.58914560146,156230.13698630135,156470.26237655304,0.0,0.0,6.886024718172441,0.0,19.969985963812595,42.58607059379768,1097.5987820351516,4110900.273886885,0.0,23.3552952693162,19.134509736809677,0.05,0.05,0.022,0.011,0.006,0.011,0.01,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 10/14  07:00:00,2.2,-0.225,83.875,1238995.5562825015,1331506.8493150683,110465.75342465755,1331137.5710549374,312460.2739726027,312940.52475310608,0.0,0.0,6.6112005339277879,0.0,19.899656296034285,41.97125486728567,1106.7064568764664,5525214.783959959,0.0,23.19126590207111,19.04109358050573,0.056,0.056,0.075,0.025,0.016,0.022,0.02,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,2700.0 
 10/14  08:00:00,2.8875,0.0,81.25,1106246.0323950907,1331506.8493150683,185582.46575342469,2662275.1421098748,695934.2465753424,485057.81336731437,0.0,0.0,6.581067782469891,0.0,20.24826797179089,40.990988195299319,1114.0165771365763,7275180.916135399,0.0,23.376193189393175,19.398970571847238,0.05,0.05,0.079,0.042,0.032,0.049,0.031,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 10/14  09:00:00,5.049999999999999,-0.6875,67.125,486748.25425383987,1331506.8493150683,203256.98630136989,3993412.7131648117,1036799.9999999998,907527.5217840077,0.0,0.0,6.7404240204983829,0.0,20.9151265332583,39.774299542895509,1113.5982218132322,8412593.673848723,0.0,23.922402860990816,20.100745896870849,0.022,0.022,0.076,0.046,0.048,0.073,0.058,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 10/14  10:00:00,6.475,-1.1,58.75,331873.80971852716,1331506.8493150683,212094.2465753425,5657334.676983484,1221435.6164383558,1017056.7054475948,0.0,0.0,6.765433846340516,0.0,21.685448893248034,38.00596038420957,1075.624576300345,10135800.940331769,0.0,24.514830943416436,20.901927192604977,0.015,0.015,0.067,0.048,0.068,0.086,0.065,0.4,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
