,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
138,147.69195,90.69301999999999,37.33497,260.8356,315.452,157.89803000000003,283.06851,167.03571,153.23596,447.02212,436.13847000000004,484.2493799999999,253.53325,123.98829,123.40915,465.59245,212.93836000000002,417.07674000000003,530.6261,336.58011
139,148.54534,91.02878,24.258139999999997,259.34785999999997,304.25579,148.02507000000003,280.30536,167.7242,149.6805,433.67857,435.84558999999996,477.40628999999996,267.70519,120.13558,111.94273999999999,490.02741,189.93104000000002,417.17375999999996,525.87505,341.7705600000001
140,152.15905999999998,93.41759,20.44947,278.04858,306.44692,147.94709,277.2509,168.23769000000001,142.69476,432.31972,437.02579999999995,474.71152,278.23725,127.19357,111.23637,500.28265,200.00209,427.76955999999996,529.36907,358.40838
141,154.14009,100.03385999999999,19.651380000000003,298.78381,308.90568,160.22764999999998,275.4413,171.28312,142.47547,435.24056,438.47869,476.7478500000001,286.93505,121.072,121.0162,508.14585,209.36156,441.7520099999999,539.74037,387.01848
142,161.48656999999997,106.24830999999999,15.480540000000001,397.89326,311.67777,157.16070000000002,270.1799,180.72900999999996,135.67308000000003,439.67778000000004,434.23632999999995,478.25669999999997,287.10864,124.56485999999998,124.32718999999999,525.05337,222.75006000000002,472.19869000000006,539.37961,428.52536
143,173.77334000000002,117.023,39.598369999999996,488.13926000000004,301.06682,175.62864000000002,261.70892000000003,182.83024,134.73914000000002,438.77985,432.09793,475.54976,276.27426,130.31996,131.80669999999998,520.49404,224.74301,495.47364,534.29007,449.64907999999997
144,184.64272999999997,133.52754000000002,31.39568,510.74683,307.94137,181.84126999999998,260.81082999999995,186.67376000000002,129.58834000000002,436.02315999999996,434.36406,466.54028999999997,296.99757,141.23248,132.0365,517.07452,218.74205,498.70871999999997,542.8197399999999,458.21360000000004
145,187.27649,142.68353000000002,33.3162,524.1922000000001,330.68014999999997,181.86354,261.64493,189.28343,129.18859000000003,431.84247000000005,432.04196999999994,460.60216,300.92942000000005,140.89812999999998,146.149,515.52097,212.46543000000003,501.80622,544.76228,466.31073999999995
146,185.37500999999997,144.60703,31.93144,524.1234099999999,311.14847,177.67986999999997,264.39061,189.22035,130.28668000000002,430.44968,433.58981,460.08064,309.02954,138.08407,145.8793,521.30521,227.40061,503.82144,545.87229,464.1735
147,187.33427,142.02716,27.25034,499.44647999999995,309.85154,180.75419000000002,259.36779,187.02326,130.15854000000002,430.50978,436.14054,463.10314,299.84689000000003,141.57627,135.5633,527.59077,212.10789999999997,503.32815,542.79681,458.01865
148,179.27339,132.27464999999998,18.89865,434.57086,322.74882,172.66599,261.06447,183.09903,125.34623000000002,431.32807,438.17066000000005,464.04436,282.18208999999996,135.57556,137.94847,529.46336,225.30053999999998,478.78102000000007,541.37488,446.87451
149,176.17224999999996,121.31031,17.561819999999997,323.55453,320.67507,167.86908000000003,264.31444999999997,180.47421000000003,125.6882,435.32896,443.44348,471.28952,288.96467,123.91445,144.28468999999998,522.57764,219.22897,450.6945099999999,539.46173,416.09207000000004
